rel_path,language,ais,risk,gss,injection_vectors,sdk_found,agent_patterns,dangerous_exec,signals
instructor-1.16.0/examples/sqlmodel/run.py,Python,100,HIGH,0,4,import instructor; from openai,,eval/exec found (6 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x6); prompt_injection_vectors(4_unsanitised_inputs)
instructor-1.16.0/examples/chain-of-density/chain_of_density.py,Python,100,HIGH,0,3,import instructor; from openai; import OpenAI,hand_rolled_loop,,ai_sdk_import(3_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_vectors(3_unsanitised_inputs)
instructor-1.16.0/tests/test_lazy_imports.py,Python,100,HIGH,0,0,from instructor; import instructor,,eval/exec found (1 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x1); dynamic_import(x2)
instructor-1.16.0/examples/asyncio-benchmarks/run.py,Python,98,HIGH,0,2,import instructor; from openai,hand_rolled_loop,,ai_sdk_import(2_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(2)
instructor-1.16.0/examples/open_source_examples/runpod.py,Python,98,HIGH,0,1,import instructor; from openai; import OpenAI; from instructor,hand_rolled_loop,,ai_sdk_import(4_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(1)
instructor-1.16.0/examples/open_source_examples/openrouter.py,Python,98,HIGH,0,2,import instructor; from openai; import OpenAI; from instructor,hand_rolled_loop,,ai_sdk_import(4_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(2)
instructor-1.16.0/examples/open_source_examples/perplexity.py,Python,98,HIGH,0,1,import instructor; from openai; import OpenAI; from instructor,hand_rolled_loop,,ai_sdk_import(4_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(1)
instructor-1.16.0/examples/knowledge-graph/run_stream.py,Python,98,HIGH,0,2,from openai; import OpenAI; import instructor,hand_rolled_loop,,ai_sdk_import(3_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(2)
instructor-1.16.0/tests/llm/test_anthropic/test_multimodal.py,Python,98,HIGH,0,2,from instructor; import instructor,hand_rolled_loop,,ai_sdk_import(2_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(2)
instructor-1.16.0/tests/llm/test_openai/test_multimodal.py,Python,98,HIGH,0,2,from instructor; import instructor,hand_rolled_loop,,ai_sdk_import(2_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop); prompt_injection_partial(2)
instructor-1.16.0/tests/coverage/test_dsl_iter_parallel_coverage.py,Python,90,HIGH,0,0,from openai; from instructor,,eval/exec found (1 occurrence(s)),ai_sdk_import(2_sdk(s)_detected); dynamic_execution(eval/exec_x1)
instructor-1.16.0/examples/patching/pcalls.py,Python,80,HIGH,0,0,from instructor; import openai; import instructor,hand_rolled_loop,,ai_sdk_import(3_sdk(s)_detected); agent_loop(ai_call_inside_loop); cost_risk(ai_calls_inside_loop)
instructor-1.16.0/examples/logfire-fastapi/server.py,Python,75,HIGH,0,3,from openai; import instructor,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
instructor-1.16.0/examples/validators/llm_validator.py,Python,75,HIGH,0,3,import instructor; from openai; import OpenAI; from instructor,,,ai_sdk_import(4_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
instructor-1.16.0/examples/caching/run.py,Python,75,HIGH,0,7,import instructor; from openai,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(7_unsanitised_inputs)
instructor-1.16.0/instructor/v2/providers/mistral/handlers.py,Python,75,HIGH,0,4,from OpenAI; from instructor; from mistralai,,,ai_sdk_import(3_sdk(s)_detected); data_egress(model_hosted_in_FR:mistralai); prompt_injection_vectors(4_unsanitised_inputs)
instructor-1.16.0/instructor/v2/providers/writer/handlers.py,Python,75,HIGH,0,5,from OpenAI; from instructor,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(5_unsanitised_inputs)
instructor-1.16.0/instructor/v2/providers/xai/handlers.py,Python,75,HIGH,0,7,from OpenAI; from instructor,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(7_unsanitised_inputs)
instructor-1.16.0/instructor/v2/providers/openai/handlers.py,Python,75,HIGH,0,5,from openai; from instructor; from OpenAI,,,ai_sdk_import(3_sdk(s)_detected); prompt_injection_vectors(5_unsanitised_inputs)
instructor-1.16.0/instructor/v2/providers/cohere/handlers.py,Python,75,HIGH,0,4,from instructor; from Cohere,,,ai_sdk_import(2_sdk(s)_detected); prompt_injection_vectors(4_unsanitised_inputs)
instructor-1.16.0/tests/processing/test_message_processing.py,Python,75,HIGH,0,3,from openai; from instructor; from google.genai,,,ai_sdk_import(3_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
instructor-1.16.0/tests/v2/test_handlers_parametrized.py,Python,75,HIGH,0,3,from instructor,,,ai_sdk_import(1_sdk(s)_detected); prompt_injection_vectors(3_unsanitised_inputs)
instructor-1.16.0/tests/coverage/test_anthropic_handlers_coverage.py,Python,75,HIGH,0,4,import anthropic; from anthropic; from instructor,,,ai_sdk_import(3_sdk(s)_detected); prompt_injection_vectors(4_unsanitised_inputs)
instructor-1.16.0/instructor/providers/__init__.py,Python,60,ELEVATED,0,0,from instructor,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/instructor/v2/auto_client.py,Python,60,ELEVATED,0,0,from instructor; import instructor; import openai; from openai; import anthropic; import Anthropic; import google.genai; import cohere; http:api.together.xyz; http:api.deepseek.com,,,ai_sdk_import(8_sdk(s)_detected); ai_http_endpoint(api.together.xyz); data_egress(model_hosted_in_CN:api.deepseek.com); data_sovereignty_risk(non-allied_jurisdiction); dynamic_import(x3)
instructor-1.16.0/instructor/v2/providers/gemini/schema.py,Python,60,ELEVATED,0,0,from instructor,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/instructor/v2/providers/gemini/client.py,Python,60,ELEVATED,0,0,from instructor,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/instructor/v2/providers/mistral/client.py,Python,60,ELEVATED,0,0,from instructor; from mistralai,,,ai_sdk_import(2_sdk(s)_detected); data_egress(model_hosted_in_FR:mistralai); dynamic_import(x1)
instructor-1.16.0/instructor/v2/core/function_calls.py,Python,60,ELEVATED,0,0,from openai; from instructor,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/instructor/v2/core/response.py,Python,60,ELEVATED,0,0,from instructor; from openai,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/instructor/v2/core/registry.py,Python,60,ELEVATED,0,0,from instructor,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/instructor/cli/batch.py,Python,60,ELEVATED,0,0,from instructor; from anthropic; import Anthropic; from openai; import OpenAI; from Anthropic,,,ai_sdk_import(6_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/tests/llm/shared_config.py,Python,60,ELEVATED,0,0,import instructor,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x4)
instructor-1.16.0/tests/processing/test_formatting.py,Python,60,ELEVATED,0,0,from instructor; from google.genai,,,ai_sdk_import(2_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/tests/providers/test_auto_client.py,Python,60,ELEVATED,0,0,from instructor; from openai; import instructor,,,ai_sdk_import(3_sdk(s)_detected); dynamic_import(x2)
instructor-1.16.0/tests/v2/test_vertexai_runtime.py,Python,60,ELEVATED,0,0,from instructor,,,ai_sdk_import(1_sdk(s)_detected); dynamic_import(x1)
instructor-1.16.0/tests/v2/test_auto_client_deterministic.py,Python,60,ELEVATED,0,0,from instructor; import instructor; http:bedrock-runtime,,,ai_sdk_import(2_sdk(s)_detected); ai_http_endpoint(bedrock-runtime); dynamic_import(x5)
